X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,Y (output)
27,8,3,3,3,8.8,216,1100,1944,0.56,40.74,81.58,280,116
25,11.15,3.5,3,3,9.13,335,1900,3517,0.54,76,152,360,118
47,11.15,3.5,3,3,13.53,396,1250,4155,0.3,26.59,53.19,610,106
48,5,3.5,3,2.5,12.40,240,875,2520,0.34,18.22,36.45,380,106
46,11.14,3,3,3,13.23,375,1600,3375,0.47,34.78,69.56,410,106
59,11.04,3,2.5,3,15.71,389,1625,2917.5,0.55,27.54,55.08,640,106
49,11.06,3.2,2.8,3,13.81,507,2750,4542.72,0.6,56.12,112.24,580,118
68,16,4,3,3,18.8,1088,5300,13056,0.4,77.94,155.88,390,126
45,16,4,3,3,18.8,720,3300,8640,0.38,73.33,146.66,450,106
31,15,4,3,3,18.8,465,2475,5580,0.44,79.83,159.67,580,112
98,8,3,3,3,18.8,784,2500,7056,0.35,25.51,51.02,280,120
22,4,2.5,2.5,2.5,18.8,88,210,660,0.34,8.33,16.66,580,106
85,11.15,3,3,3,18.8,726,2950,6534,0.45,34.7,69.4,315,116
27,11.05,3,2.5,5,18.8,189,900,1417.5,0.63,33.33,66.66,640,106
24,11.06,3,3,3,18.8,291,1475,2619,0.56,61.74,122.91,290,122
85,11.07,3,3,3,18.8,595,2250,5355,0.42,26.47,52.94,310,125
23,11.06,3.5,3,3.5,18.8,276,1458.32,2898,0.5,63.4,126.8,430,106
55,11.07,3.5,3,3,18.8,612,3500,6426,0.54,63.83,127.27,480,118
60,11.06,4,3.5,3,18.8,900,5050,12600,0.4,84.16,168.32,460,122
16,11.04,3,3,3,18.8,160,750,1440,0.52,49.87,93.74,450,112
23,11.03,4.2,3.2,3,18.8,552,3550,7418.88,0.47,154.34,308.38,450,126
115,11.02,3,3,3,6,805,2950,7245,0.4,25.65,51.3,380,125
28,11.01,3.5,3,3,8,224,1000,2352,0.42,35.71,35.71,430,112
35,6,3,3,3,10,210,875,1890,0.46,25,50,420,112
22,17,4,3,3,9.8,374,2550,4488,0.56,115.9,231.8,410,122
47,11.14711694,3,3,3,11,411,2250,3699,0.6,47.87,95.74,510,121
39,11,3.5,3,3,11.9,462,2425,4504.5,0.53,62.17,124.35,480,123
39,5,3.5,3,2.8,12,52.5,800,2047.5,0.39,20.51,41.02,550,106
30,10,3,3,3,9.8,900,1886.12,2700,0.69,62.87,125.74,530,106
30,11.13258305,4,3,3,9.8,610,4325,7320,0.59,144.17,288.34,380,116
30,16,4,3,3,9.8,480,3250,5760,0.56,108.33,216.67,370,112
17,9,3,3,3,9.8,153,711.8,1377,0.51,41.87,83.74,530,116
18,15,3.2,3,3,9.8,270,1725,2592,0.66,90.78,181.57,410,118
70,11.14537811,3.2,2.8,3,13,782,2700,7007,0.39,38.57,77.14,350,123
45,10,3.2,2.8,3,12.8,450,1750,4032,0.44,38.88,77.79,360,118
58,11.14316696,3,2.5,3,14,370,1400,2775,0.5,24.14,48.28,380,118
